mapping_address,address,latitude,longitude,region_code,state,country
Darwin Driver,"Darwin NT, Australia",-12.4637333,130.8444446,0,NT,Australia
Somerset & Lockyer Coominya,"Coominya QLD 4311, Australia",-27.391275,152.5020772,0,QLD,Australia
Brisbane Berrinba,"Berrinba QLD, Australia",-27.6584619,153.080652,0,QLD,Australia
Bundaberg & Wide Bay Burnett Gin Gin,"Bundaberg Central QLD 4670, Australia",-24.8661024,152.3488923,0,QLD,Australia
Shepparton & Goulburn Valley,"Goulburn Valley, Shepparton VIC 3630, Australia",-36.3828492,145.398889,0,VIC,Australia
Mornington Peninsula & Bass Coast Baxter,"Baxter VIC 3911, Australia",-38.19519,145.1567199,0,VIC,Australia
Brisbane Newstead,"Newstead QLD, Australia",-27.4483973,153.0439282,0,QLD,Australia
Perth Stirling,"Stirling WA 6021, Australia",-31.8864864,115.8099028,0,,Australia
Sydney Lansvale,"Lansvale NSW 2166, Australia",-33.8987975,150.95583,0,NSW,Australia
Wellington Strathmore Park,"Strathmore Park, Wellington 6022, New Zealand",-41.3312163,174.8210546,1,,New Zealand
Melbourne Yarraville,"Yarraville VIC 3013, Australia",-37.8202741,144.8821697,0,VIC,Australia
Brisbane Springfield Lakes,"Springfield Lakes QLD 4300, Australia",-27.6753282,152.9164643,0,QLD,Australia
Wellington Whitby,"Wellington Terrace, Whitby YO21, UK",54.4886432,-0.6170272,3,, UK
Sydney Beaumont Hills,"Beaumont Hills NSW 2155, Australia",-33.6966654,150.9378999,0,NSW,Australia
Yarra Valley & High Country Lilydale,"Lilydale VIC 3140, Australia",-37.7569847,145.35496,0,VIC,Australia
Sydney Linley Point,"Linley Point NSW 2066, Australia",-33.8274222,151.1497868,0,NSW,Australia
Sydney Holroyd,"Holroyd NSW 2142, Australia",-33.8304901,150.9966237,0,NSW,Australia
Dubbo & Central NSW Cobar,"Dubbo NSW 2830, Australia",-32.2443908,148.614418,0,NSW,Australia
Perth Kingsley,"Kingsley WA 6026, Australia",-31.8090114,115.7890094,0,,Australia
Canterbury Halswell,"Halswell, Christchurch, New Zealand",-43.5853417,172.5707837,1,,New Zealand
Mackay & Coalfields Balberra,"Balberra QLD, Australia",-21.2738172,149.142337,0,QLD,Australia
Western QLD Jackson,"Jackson QLD 4426, Australia",-26.6446846,149.624728,0,QLD,Australia
Mandurah & Peel Barragup,"Barragup WA 6209, Australia",-32.5198872,115.7959819,0,,Australia
Brisbane Petrie,"Petrie QLD 4502, Australia",-27.2593456,152.963631,0,QLD,Australia
Blue Mountains & Central West Mount Victoria,"Mount Victoria NSW 2786, Australia",-33.5906899,150.2547707,0,NSW,Australia
Gosford & Central Coast North Gosford,"North Gosford NSW 2250, Australia",-33.4158641,151.3491336,0,NSW,Australia
Darwin Zuccoli,"Zuccoli NT 0832, Australia",-12.5057918,131.0083168,0,NT,Australia
South West Coast VIC Hawkesdale,"Hawkesdale VIC 3287, Australia",-38.1069424,142.3221969,0,VIC,Australia
Melbourne Elwood,"Elwood VIC 3184, Australia",-37.8822486,144.9825759,0,VIC,Australia
West Coast Westport,"Westport, Co. Mayo, Ireland",53.8011456,-9.5222281,3,, Ireland
Perth Southern River,"Southern River WA 6110, Australia",-32.1041527,115.9441484,0,,Australia
Waikato Matamata,"7555 State Highway 27, Matamata 3400, New Zealand",-37.8349874,175.7703691,1,,New Zealand
Melbourne Kew East,"Kew East VIC 3102, Australia",-37.791629,145.0482331,0,VIC,Australia
Southern Highlands & Tablelands Berrima,"Berrima NSW 2577, Australia",-34.4865037,150.3385238,0,NSW,Australia
